label,img
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\00292a088f.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0034b343e5.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\01b2cde734.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0369f62829.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0467582e43.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\04a0f8af45.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\05774890b9.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\05a0e239ec.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\05a3d575bf.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\06e0a3c1ec.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\071f34c46b.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\07810aa056.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\097a8be889.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\09e22065bb.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0ab6f01f9f.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0ac42c8d5b.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0b7fcd4c18.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0c169769c7.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0c1b855b9d.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0cfdb5c0fd.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0e64e5143a.jpg
ACANTHACEAE,C:\Users\un_cs\Documents\capStoneProject\data\images\ACANTHACEAE\0ec0d5769a.jpg
