label,img
CARYOPHYLLACEAE,"[[[106 120 105]
  [100 114  99]
  [ 92 109  93]
  ...
  [ 45  55  44]
  [ 44  56  44]
  [ 44  56  44]]

 [[108 122 107]
  [104 118 103]
  [ 96 113  97]
  ...
  [ 45  55  44]
  [ 44  54  43]
  [ 44  54  43]]

 [[112 126 113]
  [110 124 111]
  [102 119 103]
  ...
  [ 45  52  44]
  [ 43  50  42]
  [ 42  49  41]]

 ...

 [[ 16  22  12]
  [ 19  25  15]
  [ 22  25  16]
  ...
  [ 49  69  60]
  [ 45  65  56]
  [ 38  58  49]]

 [[ 16  24  11]
  [ 14  22   9]
  [ 12  18   6]
  ...
  [ 47  67  58]
  [ 48  68  59]
  [ 46  66  57]]

 [[  8  16   1]
  [  5  13   0]
  [  5  11   0]
  ...
  [ 46  66  57]
  [ 49  69  60]
  [ 49  69  60]]]"
CARYOPHYLLACEAE,"[[[106 114 125]
  [106 114 125]
  [105 113 126]
  ...
  [107 116 123]
  [108 117 124]
  [109 118 125]]

 [[106 114 125]
  [106 114 125]
  [105 113 126]
  ...
  [107 116 123]
  [108 117 124]
  [108 117 124]]

 [[106 114 125]
  [106 114 125]
  [105 113 126]
  ...
  [109 118 125]
  [110 119 126]
  [110 119 126]]

 ...

 [[ 64  63  59]
  [ 65  64  59]
  [ 66  65  61]
  ...
  [ 95  93  81]
  [133 129 117]
  [152 149 134]]

 [[ 74  73  71]
  [ 75  74  70]
  [ 76  75  73]
  ...
  [ 83  81  69]
  [120 116 104]
  [146 142 130]]

 [[ 79  78  76]
  [ 80  79  77]
  [ 81  80  78]
  ...
  [ 75  73  61]
  [110 106  94]
  [140 136 124]]]"
BORAGINACEAE,"[[[252 252 252]
  [255 255 255]
  [250 250 250]
  ...
  [251 251 251]
  [255 255 255]
  [248 248 248]]

 [[234 234 234]
  [168 168 168]
  [250 250 250]
  ...
  [255 255 255]
  [244 244 244]
  [255 255 255]]

 [[218 218 218]
  [ 20  20  20]
  [ 91  91  91]
  ...
  [ 37  37  37]
  [ 64  64  64]
  [249 249 249]]

 ...

 [[206 206 206]
  [108 108 108]
  [120 120 120]
  ...
  [ 36  36  36]
  [ 33  33  33]
  [255 255 255]]

 [[255 255 255]
  [251 251 251]
  [255 255 255]
  ...
  [254 254 254]
  [253 253 253]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
BORAGINACEAE,"[[[159 153 127]
  [167 161 135]
  [175 169 145]
  ...
  [193 175 161]
  [180 161 146]
  [170 148 134]]

 [[159 152 126]
  [155 148 122]
  [156 148 125]
  ...
  [187 169 155]
  [174 155 140]
  [165 143 129]]

 [[153 143 116]
  [155 145 118]
  [157 147 122]
  ...
  [177 159 145]
  [165 146 132]
  [158 139 125]]

 ...

 [[ 80  67  50]
  [126 110  94]
  [144 125 111]
  ...
  [167 141 128]
  [184 158 145]
  [200 174 161]]

 [[115 100  79]
  [135 120 101]
  [122 103  88]
  ...
  [179 153 140]
  [175 149 136]
  [171 145 132]]

 [[141 126 103]
  [133 116  96]
  [ 97  78  63]
  ...
  [186 160 147]
  [174 148 135]
  [170 144 131]]]"
CARYOPHYLLACEAE,"[[[ 38  21   0]
  [ 46  29   0]
  [ 35  14   0]
  ...
  [  6   6   4]
  [  0   0   0]
  [ 21  21  19]]

 [[ 62  48  13]
  [ 75  60  27]
  [ 57  38   6]
  ...
  [  3   3   1]
  [  8   8   8]
  [ 43  43  41]]

 [[ 72  63  20]
  [ 95  86  43]
  [ 84  70  31]
  ...
  [  6   6   6]
  [ 22  22  24]
  [ 70  70  70]]

 ...

 [[ 85  82  27]
  [129 127  70]
  [ 83  78  20]
  ...
  [ 84  92  32]
  [124 133  68]
  [107 116  49]]

 [[ 64  61   6]
  [131 129  72]
  [ 78  73  15]
  ...
  [ 65  73  13]
  [ 83  92  27]
  [ 70  79  12]]

 [[118 115  60]
  [148 146  89]
  [109 104  46]
  ...
  [ 84  90  30]
  [ 73  79  15]
  [ 68  75   8]]]"
BORAGINACEAE,"[[[ 46  74  15]
  [ 46  74  15]
  [ 47  75  16]
  ...
  [124  96  74]
  [130  98  77]
  [134 102  81]]

 [[ 48  76  17]
  [ 47  75  16]
  [ 47  75  16]
  ...
  [128  97  76]
  [133 101  80]
  [137 105  84]]

 [[ 52  80  21]
  [ 50  78  19]
  [ 49  74  17]
  ...
  [135 103  82]
  [138 106  85]
  [140 105  85]]

 ...

 [[ 84  70  33]
  [ 82  68  31]
  [ 79  65  28]
  ...
  [ 62  83  42]
  [ 74  94  57]
  [ 85 105  68]]

 [[ 84  68  32]
  [ 79  63  27]
  [ 76  60  24]
  ...
  [ 68  89  48]
  [ 67  87  50]
  [ 70  90  53]]

 [[ 79  63  27]
  [ 75  59  23]
  [ 77  61  25]
  ...
  [ 81 102  61]
  [ 69  89  52]
  [ 64  84  47]]]"
BORAGINACEAE,"[[[ 65 101  75]
  [ 68 104  78]
  [ 72 108  80]
  ...
  [ 43  68  38]
  [ 42  67  37]
  [ 41  66  36]]

 [[ 67 103  77]
  [ 70 106  80]
  [ 74 110  82]
  ...
  [ 44  69  39]
  [ 44  69  39]
  [ 43  68  38]]

 [[ 71 107  81]
  [ 73 109  83]
  [ 76 112  84]
  ...
  [ 47  72  43]
  [ 46  71  42]
  [ 45  70  41]]

 ...

 [[ 56  95  48]
  [ 59  98  51]
  [ 63 102  57]
  ...
  [ 44  44  36]
  [ 46  43  36]
  [ 45  42  35]]

 [[ 64 103  58]
  [ 66 105  60]
  [ 70 109  64]
  ...
  [ 44  44  36]
  [ 46  43  36]
  [ 45  42  35]]

 [[ 68 107  62]
  [ 70 109  64]
  [ 73 112  68]
  ...
  [ 44  44  36]
  [ 46  43  36]
  [ 45  42  35]]]"
BORAGINACEAE,"[[[202 211  84]
  [202 211  84]
  [201 210  81]
  ...
  [201 204 151]
  [198 201 148]
  [197 200 147]]

 [[202 211  86]
  [202 211  84]
  [202 211  84]
  ...
  [200 203 150]
  [197 200 147]
  [195 198 145]]

 [[205 211  89]
  [205 211  89]
  [204 210  86]
  ...
  [198 201 148]
  [195 198 143]
  [193 196 141]]

 ...

 [[224 245 186]
  [225 246 189]
  [227 247 194]
  ...
  [151 176  75]
  [162 186  88]
  [173 197  99]]

 [[225 246 189]
  [226 247 191]
  [226 246 195]
  ...
  [155 178  74]
  [157 179  78]
  [161 183  82]]

 [[227 248 191]
  [227 248 192]
  [226 246 195]
  ...
  [161 182  77]
  [156 177  74]
  [152 173  70]]]"
BORAGINACEAE,"[[[104 103  47]
  [104 103  47]
  [104 103  46]
  ...
  [ 98  95  42]
  [ 98  95  42]
  [ 99  96  43]]

 [[104 103  47]
  [104 103  47]
  [104 103  46]
  ...
  [ 98  95  42]
  [ 98  95  42]
  [ 99  96  43]]

 [[104 103  47]
  [104 103  47]
  [104 103  46]
  ...
  [ 98  95  42]
  [ 98  95  42]
  [ 99  96  43]]

 ...

 [[140 140  78]
  [135 135  73]
  [108 108  46]
  ...
  [122 116  56]
  [129 121  59]
  [117 107  45]]

 [[150 150  88]
  [148 148  86]
  [122 122  60]
  ...
  [122 116  56]
  [130 120  59]
  [118 106  46]]

 [[156 156  94]
  [158 158  96]
  [134 134  72]
  ...
  [122 116  56]
  [130 120  59]
  [118 106  46]]]"
BORAGINACEAE,"[[[180 185 121]
  [180 185 121]
  [183 183 121]
  ...
  [168 163  82]
  [160 148  74]
  [160 146  75]]

 [[192 197 133]
  [190 195 131]
  [189 191 128]
  ...
  [166 161  80]
  [160 148  74]
  [149 135  64]]

 [[175 181 119]
  [176 180 119]
  [179 180 120]
  ...
  [165 158  80]
  [160 146  75]
  [136 119  50]]

 ...

 [[142 147  63]
  [168 174  88]
  [158 162  78]
  ...
  [109 112  55]
  [ 74  77  20]
  [ 50  53   0]]

 [[154 160  74]
  [169 175  87]
  [146 150  65]
  ...
  [133 136  83]
  [152 155 102]
  [165 168 115]]

 [[161 167  79]
  [168 174  86]
  [138 142  55]
  ...
  [113 115  65]
  [105 107  57]
  [100 102  52]]]"
